"2025 MONSTER ENERGY AMA SUPERCROSS"
"Anaheim #1"
"Jan 11, 2025"
""
"250 ENTRY LIST"
"Entries: 68"
"#     RIDER                         BIKE      HOMETOWN                                  TEAM"
"19    Jordon Smith                Triumph     Belmont, NC                               Triumph Racing Factory Team"
"23    Julien Beaumer                KTM       Lake Havasu City                          Redbull KTM"
"25    Ryder Difrancesco            GasGas     Bakersfield, Ca.                          Rockstar Energy GASGAS Factory Racing"
"30    Jo Shimoda                   Honda      Suzuka, JAPAN                             Honda HRC Progressive"
"36    Garrett Marchbanks          Kawasaki    Coalville, UT                             Monster Energy Pro Circuit Kawasaki"
"37    Coty Schock                  Yamaha     Dover, DE                                 Muc-Off/FXR/ClubMX Yamaha"
"38    Haiden Deegan                Yamaha     Temecula, CA                              Monster Energy Star Racing Yamaha"
"48    Talon Hawkins                 KTM       Temecula, CA                              AEO Powersports KTM Racing"
"52    Anthony Bourdon              Yamaha     Hossegor, France                          Toyota Redlands BarX Yamaha"
"54    Jett Reynolds                Yamaha     Bakersfield, CA                           Muc-Off/FXR/ClubMX Yamaha"
"58    Derek Kelley                 Yamaha     Boise, ID                                 Team Solitaire Heartbeat Hot Sauce Yamaha"
"61    Cole Thompson                Yamaha     Brigden, Canada                           Team Solitaire Heartbeat Hot Sauce Yamaha"
"63    Hunter Yoder                Kawasaki    Menifee, CA                               Partzilla PRMX Racing"
"65    Lux Turner                    KTM       Gardnerville, NV                          AEO Powersports KTM Racing Team"
"67    Joshua Varize                 KTM       Perris, CA                                Rocky Mountain Rides Unlimited KTM"
"79    Max Miller                   Yamaha     Springfield, OR                           Miller Racing"
"85    Max Sanford                 Kawasaki    Pasadena, MD                              Host Grindstone Friesen group"
"91    Tj Albright                  Yamaha     Mt Marion NY                              Gizmo Mods Rock River Yamaha"
"93    Michael Mosiman              Yamaha     Sebastopol CA                             Monster Energy Star Racing Yamaha"
"99    Brock Bennett               Husqvarna   Bakersfield, CA                           MRPSBR Husqvarna Racing"
"100    Cole Davies                  Yamaha     Waitoki, New Zealand                      Monster Energy Star Racing Yamaha"
