"2025 MONSTER ENERGY AMA SUPERCROSS"
"Anaheim #1"
"Jan 11, 2025"
""
"450 ENTRY LIST"
"Entries: 47"
"#     RIDER                         BIKE      HOMETOWN                                  TEAM"
"1     Jett Lawrence                Honda      Landsborough, Australia                   Honda HRC Progressive"
"2     Cooper Webb                  Yamaha     Newport, NC                               Monster Energy Star Racing Yamaha"
"3     Eli Tomac                    Yamaha     Cortez, CO                                Monster Energy Yamaha Star Racing"
"4     Chase Sexton                  KTM       La Moille, IL                             Red Bull KTM Factory Racing"
"7     Aaron Plessinger              KTM       Hamilton, OH                              Redbull KTM Factory Racing"
"11    Kyle Chisholm                Suzuki     Valrico, FL                               Twisted tea HEP Suzuki"
"12    Shane McElrath               Honda      Oakland, FL                               Quadlock Honda Racing"
"14    Dylan Ferrandis              Honda      Avignon, France                           Phoenix Racing Honda"
"17    Joey Savatgy                 Honda      Clermont, FL                              Quadlock Honda Racing"
"21    Jason Anderson              Kawasaki    Edgewood, NW                              Monster Energy Kawasaki"
"27    Malcolm Stewart             Husqvarna   Haines City, FL                           Rockstar Energy Husqvarna Factory Racing"
"32    Justin Cooper                Yamaha     Cold Spring Harbor, NY                    Monster Energy Yamaha Star Racing"
"33    Freddie Noren               Kawasaki    Lidköping, Sweden                         ISRT/MX4Christ Kawasaki"
"35    Marshal Weltin               Yamaha     Ubly, mi                                  Gizmo Mods Rock River Yamaha"
"43    Grant Harlan                 Yamaha     Paso Robles, CA                           Gizmo Mods RockRiver Yamaha"
"45    Colt Nichols                 Suzuki     Muskogee, OK                              Twisted Tea Suzuki presented by Progressive Insurance"
"46    Justin Hill                   KTM       Riverton                                  Team Tedder Racing"
"49    Mitchell Oldenburg            Beta      Alvord, TX                                Liqui Moly Beta Factory Racing"
"51    Justin Barcia                GasGas     Monroe NY                                 Rockstar Energy GASGAS Factory Racing"
"57    Benny Bloss                   Beta      Oak Grove, MO                             Factory Liqui Moly Beta Racing"
"66    Vince Friese                 Honda      Cape Girardeau, Missouri                  MCR"
"70    Jorge Prado                 Kawasaki    Spain                                     Monster Energy Kawasaki Factory Racing"
"72    Anthony Rodriguez             KTM       Venezuela                                 Rides Unlimited RMATV MC Racing"
"77    Jerry Robin                  Yamaha     Hamel, MN                                 Estenson Racing"
"78    Cade Clason                 Kawasaki    Medina OH                                 Partzilla, Blasterpower, Prmx"
"86    Mitchell Harrison           Kawasaki    Brighton, MI                              Partzilla PRMX Racing"
"94    Ken Roczen                   Suzuki     Mattstedt, Germany                        Progressive Insurance ECSTAR Suzuki"
"96    Hunter Lawrence              Honda      Sunshine Coast, Australia                 Honda HRC Progressive"
"122    Justin Starling              GasGas     De Land, FL                               MotoWhips Racing Team"
"146    Kevin Moranz                  KTM       Topeka, KS                                Champion Tool Storage Geebo KMR KTM"
"148    Justin Rodbell               Honda      Prince Frederick MD                       Team Next Level"
"169    Logan Karnow                Kawasaki    Vermilion OH                              Onlyfans Big Mac Entertainment Oneal"
"173    Hunter Schlosser             Honda      El Paso Texas                             Team Next Level"
"200    Ryan Breece                  Honda      Coeur d' Alene                            MCR"
"207    Rider Fisher                Kawasaki    Estacada                                  Motosport Hillsboro, Legacy Racewear Kawasaki"
"282    Bubba Pauli                 Kawasaki    Edwardsville                              International Supercross Race Team Kawasaki"
"339    Joey Desimone Jr            Kawasaki    Hobart, WA                                Desimone Racing"
"411    Scott Meshey                  KTM       Saint Augustine, FL                       McGinley Clinic Privateer Support Program, Watkins Lighting & Sign, Meshey"
"412    Jared Lesher                 Yamaha     Lindale, GA                               The McGinley Clinic Privateer Support Program"
"509    Alex Nagy                    Honda      Richmond, IL                              Team SKVI CWF F3 Energy Rockwell"
"512    Austin Cozadd                Yamaha     Gadsden AL                                Mcginley Clinic Privateer Support Program"
"542    Jb Buller Jr.               Husqvarna   Kingsburg, CA                             Buller Racing"
"637    Bobby Piazza                 Yamaha     Easton pa                                 Piazza racing"
"645    Colby Copp                   Honda      Los Banos, CA                             Next Level"
"711    Tristan Lane                  KTM       DeLand, Florida                           The McGinley Clinic Privateer Support Path"
"726    Gared Steinke               Husqvarna   Klamath falls, Or                         Vault leverage capital"
"981    Austin Politelli             Yamaha     Murrieta CA                               Gizmo Mods Rock River Yamaha"
""
""
""
""
"Generated by LiveTime Scoring Engine                                                                                                                          Page 1/1"
""
