"2025 MONSTER ENERGY AMA SUPERCROSS"
"San Diego"
"Jan 18, 2025"
""
"250 MAIN EVENT LINEUP"
"Race Length: 15:00 Timed"
"GRID      #    RIDER                 BIKE      SEED #                RESULT              HOMETOWN"
"1       100   Cole Davies          Yamaha        1                   1 (1)              Waitoki, New Zealand"
"2        36   Garrett Marchbanks   Kawasaki      2                   1 (1)              Coalville, UT"
"3        93   Michael Mosiman      Yamaha        3                   2 (1)              Sebastopol CA"
"4        19   Jordon Smith         Triumph       4                   2 (1)              Belmont, NC"
"5        38   Haiden Deegan        Yamaha        5                   3 (1)              Temecula, CA"
"6        23   Julien Beaumer         KTM         6                   3 (1)              Lake Havasu City, AZ"
"7        25   Ryder Difrancesco     GasGas       7                   4 (1)              Bakersfield, Ca."
"8        26   Ty Masterpool        Kawasaki      8                   4 (1)              Paradise, TX"
"9        65   Lux Turner             KTM         9                   5 (1)              Gardnerville, NV"
"10       54   Jett Reynolds        Yamaha       10                   5 (1)              Bakersfield, CA"
"11       52   Anthony Bourdon      Yamaha       11                   6 (1)              Hossegor, France"
"12       61   Cole Thompson        Yamaha       12                   6 (1)              Brigden, Canada"
"13       37   Coty Schock          Yamaha       13                   7 (1)              Dover, DE"
"14       30   Jo Shimoda            Honda       14                   7 (1)              Suzuka, Japan"
"15      115   Gavin Towers          Honda       15                   8 (1)              Pittsburgh, PA"
"16       63   Hunter Yoder         Kawasaki     16                   8 (1)              Menifee, CA"
"17       91   Tj Albright          Yamaha       17                   9 (1)              Mt Marion NY"
"18      302   Parker Ross           Honda       18                   9 (1)              Herald, CA"
"19       67   Joshua Varize          KTM        19         LCQ [1 6/14:59.410 (1) H1]   Perris, CA"
"20      101   Dylan Walsh          Kawasaki     20         LCQ [2 6/14:59.410 (1) H1]   Christchurch, New Zealand"
"21      334   Brad West            Yamaha       21         LCQ [3 6/14:59.410 (1) H1]   Dingo, Australia"
"22      260   Nico Koch              KTM        22         LCQ [4 6/14:59.410 (1) H1]   Braunschweig, Germany"
""
""
""
""
"Generated by LiveTime Scoring Engine                                                                                     Page 1/1"
""
