"2025 MONSTER ENERGY AMA SUPERCROSS"
"San Diego"
"Jan 18, 2025"
""
"450 MAIN EVENT LINEUP"
"Race Length: 20:00 Timed"
"GRID      #    RIDER                  BIKE      SEED #                RESULT             HOMETOWN"
"1        3    Eli Tomac             Yamaha        1                   1 (1)             Cortez, CO"
"2        1    Jett Lawrence         Honda         2                   1 (1)             Landsborough, Australia"
"3        4    Chase Sexton           KTM          3                   2 (1)             La Moille, IL"
"4        2    Cooper Webb           Yamaha        4                   2 (1)             Newport, NC"
"5        94   Ken Roczen            Suzuki        5                   3 (1)             Mattstedt, Germany"
"6        21   Jason Anderson       Kawasaki       6                   3 (1)             Edgewood, NM"
"7        51   Justin Barcia         GasGas        7                   4 (1)             Monroe NY"
"8        14   Dylan Ferrandis       Honda         8                   4 (1)             Avignon, France"
"9        17   Joey Savatgy          Honda         9                   5 (1)             Clermont, FL"
"10       27   Malcolm Stewart      Husqvarna     10                   5 (1)             Haines City, FL"
"11       96   Hunter Lawrence       Honda        11                   6 (1)             Landsborough, Australia"
"12       7    Aaron Plessinger       KTM         12                   6 (1)             Hamilton, OH"
"13       32   Justin Cooper         Yamaha       13                   7 (1)             Cold Spring Harbor, NY"
"14       46   Justin Hill            KTM         14                   7 (1)             Yoncalla, OR"
"15       66   Vince Friese          Honda        15                   8 (1)             Cape Girardeau, MO"
"16       49   Mitchell Oldenburg     Beta        16                   8 (1)             Alvord, TX"
"17       12   Shane McElrath        Honda        17                   9 (1)             Oakland, FL"
"18       45   Colt Nichols          Suzuki       18                   9 (1)             Muskogee, OK"
"19       70   Jorge Prado          Kawasaki      19         LCQ [1 7/6:08.985 (1) H1]   Lugo, Spain"
"20       57   Benny Bloss            Beta        20         LCQ [2 7/6:08.985 (1) H1]   Oak Grove, MO"
"21       11   Kyle Chisholm         Suzuki       21         LCQ [3 7/6:08.985 (1) H1]   Valrico, FL"
"22      146   Kevin Moranz           KTM         22         LCQ [4 7/6:08.985 (1) H1]   Topeka, KS"
""
""
""
""
"Generated by LiveTime Scoring Engine                                                                                   Page 1/1"
""
