"2025 MONSTER ENERGY AMA SUPERCROSS"
"Detroit"
"Feb 15, 2025"
""
"450 MAIN EVENT LINEUP"
"Race Length: 20:00 Timed"
"GRID      #    RIDER                  BIKE      SEED #                RESULT             HOMETOWN"
"1        4    Chase Sexton           KTM          1                   1 (1)             La Moille, IL"
"2        21   Jason Anderson       Kawasaki       2                   1 (1)             Edgewood, NM"
"3        27   Malcolm Stewart      Husqvarna      3                   2 (1)             Haines City, FL"
"4        94   Ken Roczen            Suzuki        4                   2 (1)             Mattstedt, Germany"
"5        2    Cooper Webb           Yamaha        5                   3 (1)             Newport, NC"
"6        32   Justin Cooper         Yamaha        6                   3 (1)             Cold Spring Harbor, NY"
"7        7    Aaron Plessinger       KTM          7                   4 (1)             Hamilton, OH"
"8        14   Dylan Ferrandis       Honda         8                   4 (1)             Avignon, France"
"9        51   Justin Barcia         GasGas        9                   5 (1)             Monroe NY"
"10       46   Justin Hill            KTM         10                   5 (1)             Yoncalla, OR"
"11       17   Joey Savatgy          Honda        11                   6 (1)             Clermont, FL"
"12       57   Benny Bloss            Beta        12                   6 (1)             Oak Grove, MO"
"13       12   Shane McElrath        Honda        13                   7 (1)             Oakland, FL"
"14       49   Mitchell Oldenburg     Beta        14                   7 (1)             Alvord, TX"
"15       45   Colt Nichols          Suzuki       15                   8 (1)             Muskogee, OK"
"16       11   Kyle Chisholm         Suzuki       16                   8 (1)             Valrico, FL"
"17       72   Anthony Rodriguez      KTM         17                   9 (1)             Venezuela"
"18       77   Jerry Robin           Yamaha       18                   9 (1)             Hamel, MN"
"19       43   Grant Harlan          Yamaha       19         LCQ [1 7/6:27.245 (1) H1]   Paso Robles, CA"
"20       86   Mitchell Harrison    Kawasaki      20         LCQ [2 7/6:27.245 (1) H1]   Brighton, MI"
"21      146   Kevin Moranz           KTM         21         LCQ [3 7/6:27.245 (1) H1]   Topeka, KS"
"22      122   Justin Starling       GasGas       22         LCQ [4 7/6:27.245 (1) H1]   De Land, FL"
""
""
""
""
"Generated by LiveTime Scoring Engine                                                                                  Page 1/1"
""
