"2025 MONSTER ENERGY AMA SUPERCROSS"
"Detroit"
"Feb 15, 2025"
""
"250 ENTRY LIST"
"Entries: 58"
"#      RIDER                        BIKE      HOMETOWN                                   TEAM"
"1      Tom Vialle                   KTM       France                                     Red Bull KTM Factory Racing"
"10     Chance Hymas                Honda      Pocatello, ID                              Honda HRC Progressive"
"24     R.J. Hampshire             Husqvarna   Hudson Florida                             Rockstar Energy Husqvarna Factory Racing"
"31     Max Anstie                  Yamaha     United Kingdom                             Monster Energy Star Racing Yamaha"
"34     Daxton Bennick              Yamaha     Morganton, NC                              Monster Energy Star Racing Yamaha"
"39     Nicholas Romano             Honda      Queens NY                                  Phoenix Racing Honda"
"41     Nate Thrasher               Yamaha     Livingston, TN                             Monster Energy Star Racing Yamaha"
"42     Harri Kullas               Husqvarna   Tallinn                                    MRPSBR Husqvarna Racing"
"47     Levi Kitchen               Kawasaki    Washougal, WA                              Monster Energy Pro Circuit Kawasaki"
"50     Cameron Mcadoo             Kawasaki    Sioux City, IA                             Monster Energy Pro Circuit Kawasaki"
"55     Henry Miller                Honda      Rochester, MN                              Storm Lake Honda Buddy Brooks Racing"
"56     Seth Hammaker              Kawasaki    Bainbridge, PA                             Monster Energy Pro Circuit Kawasaki"
"59     Cullin Park                 Honda      Clermont, FL                               Phoenix Racing Honda"
"60     Carson Mumford              Honda      Simi Valley , CA                           Quadlock Honda Racing"
"62     Mark Fineis                 Yamaha     Indianapolis, IN                           Muc-Off/FXR/Club MX"
"73     Preston Boespflug          Kawasaki    Battle Ground, WA                          Partzilla Blaster Power PRMX"
"74     Lorenzo Locurcio            GasGas     Valencia, Venezuela                        Wildcat Race Team"
"75     Gage Linville                KTM       Lake Park, GA                              The Dirt Bike Depot"
"81     Matti Jorgensen             GasGas     Helirod, Denmark                           Wildcat Race Team"
"82     Ryder Floyd                 Honda      Paris, TX                                  Ti Lube Honda"
"83     Austin Forkner             Triumph     Richards, MO                               Triumph Factory Racing"
"87     Hardy Munoz                 Yamaha     Temuco, Chile                              Munoz Racing"
"89     Trevor Colip                Honda      Bowling Green IN                           TiLUBE Honda"
"92     Maximus Vohland             Yamaha     Temecula, CA                               Muc-Off/FXR/ClubMX Yamaha"
"97     Bryce Shelly                Yamaha     Telford, PA                                Gizmo Mods Rock River Yamaha"
"105     Marcus Phelps                KTM       Johannesburg, South Africa                 The Dirt Bike Depot WMR KTM"
"125     Luke Neese                  Honda      Concord                                    Neese Racing"
"135     Collin Allen                Yamaha     Haslet TX                                  EBR performance racing"
"137     Ayden Shive                  KTM       Dade City, FL                              HBI Racing"
"142     Crockett Myers               KTM       Navasota, TX                               The Dirt Bike Depot WMR KTM Racing"
"143     Jaxen Driskell              Yamaha     Tabor,Iowa                                 Gizmo Mods Rock River Yamaha"
"174     Luca Marsalisi              Honda      Danbury, CT                                TiLube Honda Racing"
"183     Mitchell Zaremba            Yamaha     Avon, OH                                   Zaremba Racing"
"188     Hamden Hudson               Yamaha     Danville, VA                               Noowell All Balls Racing EBR Yamaha"
"192     Jack Chambers              Kawasaki    Auburndale, FL                             Partzilla Blaster Power PRMX"
"195     Lance Kobusch               Honda      New Florence, MO                           SPR"
"197     Brian Saunier                KTM       Pittsburgh, PA                             The McGinley Clinic Privateer Support Program"
"219     Jeremy Mckie                 KTM       Beloeil, QC, Canada                        Rides Unlimited/RMATV MC Racing"
"235     Patrick Murphy              Honda      Clinton, IA                                TiLube Honda"
"239     Bryson Raymond              GasGas     Lilburn, GA                                Raymond Racing"
"268     Gage Stine                  Yamaha     Woodsboro, MD                              FrederickTown Yamaha"
"346     Charles Tolleson IV         GasGas     Crosby, TX                                 Charlie T’s Crawfish"
"350     Chandler Baker             Husqvarna   Oklahoma City, OK                          Turn One Powersports Husqvarna"
"351     Jack Rogers                Kawasaki    Brookeville, MD                            Jack Rogers Racing"
"376     Thomas Welch                 KTM       Charlotte Hall, MD                         Welch Racing"
"401     Blake Gardner              Husqvarna   Acton, CA                                  MRPSBR Husqvarna"
"420     Jackson Gray               Husqvarna   Forsyth, GA                                McGinley Clinic Privateer Support Program"
"427     Cole Bradford                KTM       Tampa, FL                                  HBI Racing"
"437     Vinny Luhovey              Kawasaki    Greensburg, PA                             Mosites Motorsports"
"468     Michael Hicks               Yamaha     Fenton Missouri                            Noowell All Balls Racing EBR Yamaha"
"483     Bryton Carroll              Yamaha     Vineland, NJ                               Noowell All Balls Racing EBR Yamaha"
"504     Gerhard Matamoros            KTM       Tegucigalpa, Honduras                      Privateer Support Program"
"526     Nick Laurie                  KTM       Waldorf, MD                                Rocky Mountain Rides Unlimited"
"573     Christopher Blackmer        Yamaha     Muskegon, MI                               CCR Racing"
"672     Brandon Pederson           Kawasaki    Los Fresnos, TX                            Stan Benson"
"682     Izaih Clark                 Honda      Fort Dodge, IA                             Storm Lake Honda Buddy Brooks Racing"
"689     Tony Usko                    KTM       Doylestown, OH                             Usko Racing"
""
""
""
"Generated by LiveTime Scoring Engine                                                                                                          Page 1/2"
"    822    Riley Ripper                Husqvarna   Magnolia, TX   Ripper 822"
""
""
""
""
"Generated by LiveTime Scoring Engine                                           Page 2/2"
""
