name_guess,number_guess,img_url,profile_url
Aaron Plessinger,10,https://rxi.iscdn.net/2022/12/259919_sx23_aaron_plessinger_smile_691x691px-removebg-preview.png?auto=format&q=90&w=3000&h=2000&fit=crop&crop=faces,https://racerxonline.com/rider/aaron-plessinger
Alexander Fedortsov,10,https://rxi.iscdn.net/2025/05/306894_screenshot2025-05-16at94705am-removebg-preview.png?auto=format&q=90&w=3000&h=2000&fit=crop&crop=faces,https://racerxonline.com/rider/alexander-fedortsov
Alvin Hillan,10,https://rxi.iscdn.net/i/logos/post_thumb.png?auto=format&q=90&w=3000&h=2000&fit=crop&crop=faces,https://racerxonline.com/rider/alvin-hillan
Anthony Bourdon,10,https://rxi.iscdn.net/2024/01/281607_279883barx-suzuki-2024-anthony-bourdon-945-headshot-1600x20.png?auto=format&q=90&w=3000&h=2000&fit=crop&crop=faces,https://racerxonline.com/rider/anthony-bourdon
Anthony Rodriguez,10,https://rxi.iscdn.net/2022/12/259956_sx23_anthony_rodriguez_smile_691x691px-removebg-preview.png?auto=format&q=90&w=3000&h=2000&fit=crop&crop=faces,https://racerxonline.com/rider/anthony-rodriguez
Anton Nordstrom,10,https://rxi.iscdn.net/i/logos/post_thumb.png?auto=format&q=90&w=3000&h=2000&fit=crop&crop=faces,https://racerxonline.com/rider/anton-nordstrom
Austin Forkner,10,https://rxi.iscdn.net/2025/02/301362_austinforkneredited51-removebg-preview.png?auto=format&q=90&w=3000&h=2000&fit=crop&crop=faces,https://racerxonline.com/rider/austin-forkner
Avery Long,10,https://rxi.iscdn.net/2024/12/299084_screenshot2024-12-23at115504am-removebg-preview.png?auto=format&q=90&w=3000&h=2000&fit=crop&crop=faces,https://racerxonline.com/rider/avery-long
Ayden Shive,10,https://rxi.iscdn.net/2024/07/290375_screenshot2024-07-02at102553am-removebg-preview.png?auto=format&q=90&w=3000&h=2000&fit=crop&crop=faces,https://racerxonline.com/rider/ayden-shive
Basile Pigois,10,https://rxi.iscdn.net/i/logos/post_thumb.png?auto=format&q=90&w=3000&h=2000&fit=crop&crop=faces,https://racerxonline.com/rider/basile-pigois
Benny Bloss,10,https://rxi.iscdn.net/2023/12/279730_20231206-bennyheadshot-2-removebg-preview.png?auto=format&q=90&w=3000&h=2000&fit=crop&crop=faces,https://racerxonline.com/rider/benny-bloss
Billy Laninovich,10,https://rxi.iscdn.net/2024/01/281610_privateersalignmediasx24sandiego039-removebg-preview.png?auto=format&q=90&w=3000&h=2000&fit=crop&crop=faces,https://racerxonline.com/rider/billy-laninovich
Brad West,10,https://rxi.iscdn.net/2022/01/241611_screen_shot_2022-01-29_at_4_24_45_pm-removebg-preview.png?auto=format&q=90&w=3000&h=2000&fit=crop&crop=faces,https://racerxonline.com/rider/brad-west
Brandon Ray,10,https://rxi.iscdn.net/2021/10/235360_screen_shot_2021-10-21_at_10_34_58_am-removebg-preview.png?auto=format&q=90&w=3000&h=2000&fit=crop&crop=faces,https://racerxonline.com/rider/brandon-ray
Brayden Ehlermann,10,https://rxi.iscdn.net/i/logos/post_thumb.png?auto=format&q=90&w=3000&h=2000&fit=crop&crop=faces,https://racerxonline.com/rider/brayden-ehlermann
Brock Walker,10,https://rxi.iscdn.net/i/logos/post_thumb.png?auto=format&q=90&w=3000&h=2000&fit=crop&crop=faces,https://racerxonline.com/rider/brock-walker
Bryce Shelly,10,https://rxi.iscdn.net/2023/09/274786_screenshot2023-09-05at113815am-removebg-preview.png?auto=format&q=90&w=3000&h=2000&fit=crop&crop=faces,https://racerxonline.com/rider/bryce-shelly
